pyname,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
nanjing city,949,1008,1087,1079,1163,1226,1536,2210,2139,2498,2983,3158,3605,4110,5430,7363,9674,12150,14101,15623,16735,20536,20483,22642,24927,29669,35058,43536,48776,56433,63690,70073,84491,100423,116871,128428,139267,113978
lishui district,314,372,429,449,487,524,707,863,1124,1120,1156,1300,1501,1419,1782,2687,4317,5908,7014,7611,8325,8880,9475,10675,12295,15227,18841,20572,25560,31564,38887,48192,60527,72847,88200,102152,120773,142304
gaochun district,322,391,424,453,510,516,636,788,923,1056,1177,1284,1373,1485,1818,2543,3595,4689,5481,6290,7077,7680,8723,10108,11885,14683,18264,22119,26436,33163,39889,48347,57879,70260,84436,97152,108510,132917
wuxi city,1009,1119,1356,1415,1461,1608,2062,2751,2934,3315,4192,4482,4955,5668,8963,12907,16768,20726,23980,27079,29363,52343,32665,37318,43842,51510,62698,72375,81463,91680,96432,109098,125165,148824,163715,172034,171622,120302
jiangyin city,440,528,622,650,717,870,1139,1624,1849,2207,2917,3119,3327,3899,6952,10039,14583,17865,19449,21445,23789,26182,28480,31635,35414,43532,54195,66428,82057,99404,127500,142351,165763,193239,209086,222300,223517,176119
yixing city,374,470,531,559,675,764,939,1160,1389,1608,1972,2116,2279,2466,3859,5847,8866,11936,13294,13713,15222,16171,16775,18609,20959,24664,29287,34335,40361,47625,56192,63508,75142,91106,100806,110329,114048,102652
xuzhou city,536,645,742,763,865,1024,1141,1265,1415,1631,1830,2040,2187,2419,3185,4659,6829,8659,10065,11406,15755,16709,13653,14942,15836,18055,22791,25652,29887,35729,41477,50389,53840,62770,68267,70081,74796,79511
feng county,213,245,283,292,360,415,485,450,517,557,603,764,750,898,947,1225,1919,2643,2903,2962,3112,3378,3607,3999,4438,4953,5840,5206,6060,7048,8771,10487,12892,16563,19613,23833,28457,39124
pei county,252,273,304,327,388,426,547,656,700,771,931,964,1055,1146,1315,1629,2438,3216,3793,4060,4480,4888,5242,5874,6575,7414,8909,10300,12124,14028,16802,19870,23574,29655,33520,38428,43249,54394
suining county,223,231,280,298,345,362,488,525,547,554,597,642,743,734,860,1194,1838,2436,2669,2461,2631,2791,2859,3212,3643,4095,4227,4684,5379,6359,8159,11373,15031,18630,22019,25590,29250,44210
xinyi county,308,312,329,357,378,472,559,650,741,863,1049,1152,1143,1279,1414,1927,3145,3567,3879,4156,4503,4708,4913,5461,6105,5677,6692,7982,9187,10726,12801,19178,23190,28784,32679,37591,42322,55891
pizhou county,212,246,268,275,312,408,463,521,637,4781,862,896,915,971,1170,1564,2416,3174,10241,3194,3547,3782,4156,4628,5166,5861,6230,7571,9063,10460,12896,17359,20456,25127,28549,32749,36822,51015
changzhou city,614,694,768,820,800,900,1119,1353,1501,1911,2213,2319,2554,2664,3409,8556,11662,13807,14618,13442,18418,28137,21909,24408,26717,31829,38225,44216,52581,61934,71688,83721,101513,118443,131767,143160,158778,115494
liyang city,307,335,403,429,451,515,747,901,1005,1227,1589,1606,1654,1733,2023,4069,6116,7890,9278,8202,8833,9408,10291,11592,13729,15388,19078,23220,28147,34335,41117,46179,54339,63988,70794,80652,90229,97055
jintan district,305,393,469,481,542,598,780,903,1067,1267,1766,1842,1908,1910,2853,4210,6316,7612,9479,8418,9472,10383,11648,13385,15685,18676,22615,27536,33169,40516,47783,47515,56153,66201,67585,73622,85200,94005
suzhou city,954,1022,1168,1211,1302,1384,1714,2237,2483,2928,3701,3776,4281,4929,7077,9809,11912,13784,15237,36581,45607,50180,22896,26653,29254,42887,52111,53952,59522,62425,63917,78898,96412,108228,175993,195580,153228,136556
changshu city,449,640,739,795,886,960,1311,1694,1905,2320,2996,3130,3517,4052,6233,10017,13071,15153,17276,18700,19713,21010,24830,29202,35226,45761,54181,64788,76723,91561,107984,115407,136246,160275,175145,185550,187994,135431
zhangjiagang city,429,462,567,592,668,787,1143,1644,1815,2208,2787,2899,3335,3809,7484,12145,17969,22459,27004,26968,27519,28697,31579,35947,42808,55227,66337,80205,94798,117583,139171,155760,177164,204899,225287,234527,237031,177990
kunshan city,464,552,578,627,746,835,1077,1466,1715,2269,2952,3238,3563,4296,6924,10495,14496,17254,19606,22376,25623,29162,33771,38449,51786,69471,89454,111523,139772,169432,217303,250047,295274,336132,369502,387831,389871,186580
wujiang district,480,592,628,672,747,770,1049,1410,1648,1957,2587,2596,3192,3613,5207,9467,13707,17029,18357,20823,22639,23151,23477,26401,30486,36396,43730,51488,63518,77912,94317,106648,125486,148700,158948,175074,194190,118784
taicang city,539,680,832,834,881,963,1297,1763,1884,2273,1765,3417,3720,4422,8310,12177,16344,18947,21171,23601,26822,30221,34783,35193,40080,46551,54619,64467,79453,94927,113236,130995,155752,184424,202116,211246,223152,155162
nantong city,632,686,768,837,887,939,1109,1396,1605,1853,2246,2223,2487,2796,3592,4787,6292,8248,9370,10424,11010,11714,13377,14639,16348,18615,22982,28992,34198,41263,47170,54122,66021,75278,82979,89901,98379,96862
haian county,327,361,339,413,428,480,563,697,788,900,1254,1177,1313,1391,1675,2334,3383,4593,5062,5557,6005,6399,6901,7641,8442,9689,11892,15619,18670,22673,28206,32104,38061,45835,51150,57203,66213,78551
rudong county,335,370,392,461,506,564,629,707,836,1051,1439,1387,1526,1680,2093,2766,3985,5211,5566,5711,6088,6390,6922,7582,8319,9379,11362,13595,16336,19968,24927,28253,33609,40616,45698,51354,58976,68506
qidong city,374,416,459,465,487,550,662,737,935,1073,1386,1403,1506,1753,2297,3460,4846,6873,7296,7999,8753,9470,10345,11456,11981,13432,16060,17722,21219,25308,29351,32219,38379,46274,52424,58595,65808,84099
rugao city,223,253,279,366,378,416,487,574,660,763,964,963,1046,1135,1431,1946,2590,3431,4089,4273,4465,4651,4911,5374,5872,6865,8425,10608,12708,15383,19869,25238,30522,36600,41415,45874,51752,64761
haimen city,273,297,346,407,419,480,614,747,840,970,1334,1354,1414,1476,1898,2926,4172,6530,7733,8658,9524,10361,11549,12889,14283,16142,19672,20976,25838,30873,37565,41567,50080,59039,66330,73957,83514,101298
lianyungang city,1101,1134,1167,1242,1445,1559,1766,2326,2595,2797,3256,3538,3587,3960,4663,5864,7318,9059,11529,13664,14220,14667,16253,17651,19846,24585,30758,30899,33522,36091,38164,41668,51276,53096,58352,61401,64677,57212
ganyu district,279,317,349,384,450,538,586,740,909,952,1013,1057,1068,1105,1322,1900,2977,4007,4692,4991,5398,5839,5911,6318,6894,5725,6112,6946,8488,10402,12798,16465,19807,24815,28669,31940,31677,49274
